LogUtils.java, ERROR, ExcelAccess{ {folderpath=} }|Error: Sheet Transaction doesn't exists in the file CustomerPortal_AllOrdersData.xls|
LogUtils.java, ERROR, ExcelAccess{ {folderpath=} }|Error: Sheet Transaction doesn't exists in the file CustomerPortal_AllOrdersData.xls|
LogUtils.java, ERROR, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }|Error: Error in HTML reporting|java.lang.NullPointerException
LogUtils.java, ERROR, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }|Error in HTML reporting|cbf.reporting.HtmlEventReporter.calculateDuration(HtmlEventReporter.java:429)cbf.reporting.HtmlEventReporter.writeTestSet(HtmlEventReporter.java:134)cbf.reporting.HtmlEventReporter.report(HtmlEventReporter.java:221)cbf.reporting.HtmlEventReporter.finish(HtmlEventReporter.java:125)cbf.engine.TestResultTracker.finish(TestResultTracker.java:197)cbf.engine.TestResultTracker.track(TestResultTracker.java:145)cbf.engine.TestCaseRunner.runTestCase(TestCaseRunner.java:84)cbf.engine.Engine.runTestCase(Engine.java:41)cbf.harness.Harness.runTest(Harness.java:77)cbf.harness.TestSetRunner.runTestInstance(TestSetRunner.java:111)cbf.harness.TestSetRunner.runTestSet(TestSetRunner.java:80)cbf.harness.TestSetRunner.run(TestSetRunner.java:46)cbf.harness.Main.main(Main.java:47)
LogUtils.java, ERROR, TestSetRunner{ cbf.harness.Harness@34a245ab }|Error: Unknown error during testinstance execution |FrameworkException{ Error: Error in HTML reporting|java.lang.NullPointerExceptionjava.lang.NullPointerException }| |0| |{ folderPath =  , instanceName = CustomerPortal_AllOrders }
